Sim,sample_size,Number_conditions,trials,permutations,runtime
173,160,3 conditions,160,5000,59.46
174,160,3 conditions,160,10000,96.41
175,160,3 conditions,160,20000,169.96
176,160,3 conditions,320,500,33.56
177,160,3 conditions,320,1000,39.92
178,160,3 conditions,320,5000,88.36
179,160,3 conditions,320,10000,146.89
180,160,3 conditions,320,20000,338.04
181,500,1 condition,80,500,8.31
182,500,1 condition,80,1000,10.35
183,500,1 condition,80,5000,29.31
184,500,1 condition,80,10000,48.92
185,500,1 condition,80,20000,83.29
186,500,1 condition,160,500,15.31
187,500,1 condition,160,1000,22.13
188,500,1 condition,160,5000,52.91
189,500,1 condition,160,10000,83.83
190,500,1 condition,160,20000,149.86
191,500,1 condition,320,500,30.72
192,500,1 condition,320,1000,35.76
193,500,1 condition,320,5000,77.17
194,500,1 condition,320,10000,134.25
195,500,1 condition,320,20000,281.18
196,500,2 conditions,80,500,28.79
197,500,2 conditions,80,1000,36.54
198,500,2 conditions,80,5000,70.81
199,500,2 conditions,80,10000,106.41
200,500,2 conditions,80,20000,174.57
201,500,2 conditions,160,500,59.39
202,500,2 conditions,160,1000,61.98
203,500,2 conditions,160,5000,100.54
204,500,2 conditions,160,10000,152.93
205,500,2 conditions,160,20000,269.21
206,500,2 conditions,320,500,87.33
207,500,2 conditions,320,1000,92.9
208,500,2 conditions,320,5000,156.8
209,500,2 conditions,320,10000,258.47
210,500,2 conditions,320,20000,561.76
211,500,3 conditions,80,500,76.13
212,500,3 conditions,80,1000,78.78
213,500,3 conditions,80,5000,115.43
214,500,3 conditions,80,10000,164.47
215,500,3 conditions,80,20000,271.96
216,500,3 conditions,160,500,108.19
217,500,3 conditions,160,1000,113.83
218,500,3 conditions,160,5000,173.79
219,500,3 conditions,160,10000,240.08
220,500,3 conditions,160,20000,410.89
221,500,3 conditions,320,500,168.44
222,500,3 conditions,320,1000,171.91
223,500,3 conditions,320,5000,266.77
224,500,3 conditions,320,10000,423.06
225,500,3 conditions,320,20000,883.05
